marka,title,year,type_car,ob,type_topliva,kpp,price,city,date,views,picture,link
Mercedes-Benz,Mercedes-Benz E 280,1993 г., Б/у седан, 2.8 л, бензин, КПП автомат,1800000,Караганда,3 августа,0,https://photos-kl.kcdn.kz/webp/65/6541a513-7bd9-402a-bf26-99cb4fc13255/2-160x120.jpg,https://kolesa.kz/a/show/157012934
Zeekr,Zeekr 001,2023 г., новый лифтбек, электричество, КПП автомат, белый,27150000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/9c/9cb5921b-1a38-4871-8af5-996205ac75c5/58-160x120.jpg,https://kolesa.kz/a/show/154667780
Hyundai,Hyundai Accent,2021 г., Б/у седан, 1.6 л, бензин, КПП автомат,9450000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/64/64791eba-dc6e-45b4-8c51-99c09387ac49/11-160x120.jpg,https://kolesa.kz/a/show/156762486
Toyota,Toyota Corolla,2020 г., Б/у седан, 1.6 л, бензин, КПП механика,10400000,Усть-Каменогорск,3 августа,0,https://photos-kl.kcdn.kz/webp/04/048049b7-6e5a-4ddb-b649-99cb44bc367f/1-160x120.jpg,https://kolesa.kz/a/show/157011541
EXEED,EXEED LX,2022 г., Б/у кроссовер, 1.5 л, бензин, КПП вариатор,14500000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/51/51ce2459-a809-44dc-828f-99c9ba920af8/1-160x120.jpg,https://kolesa.kz/a/show/156976891
Hyundai,Hyundai Accent,2022 г., Б/у седан, 1.6 л, бензин, КПП автомат,10200000,Семей,3 августа,0,https://photos-kl.kcdn.kz/webp/60/60640458-9222-4a62-a7e3-99c535de9e99/5-160x120.jpg,https://kolesa.kz/a/show/156865482
Daewoo,Daewoo Nexia,1996 г., Б/у седан, 1.6 л, бензин, КПП автомат,1200000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/ba/ba5eeeeb-7e39-4fcd-bb0b-99cb35bdaeb9/2-160x120.jpg,https://kolesa.kz/a/show/157009721
Toyota,Toyota Camry,1996 г., Б/у седан, 2.2 л, бензин, КПП механика,3700000,Талдыкорган,3 августа,0,https://photos-kl.kcdn.kz/webp/0f/0fec8d3f-b08a-4d07-893b-99cb300f7bb9/2-160x120.jpg,https://kolesa.kz/a/show/157009044
ВАЗ,ВАЗ (Lada) Granta 2190 (седан),2014 г., Б/у седан, 1.6 л, бензин, КПП автомат,3300000,Актау,3 августа,0,https://photos-kl.kcdn.kz/webp/1a/1a6381c6-b974-4b51-b769-99cb31b0d9d0/2-160x120.jpg,https://kolesa.kz/a/show/157009244
Lexus,Lexus ES 300,2002 г., Б/у седан, 3 л, бензин, КПП автомат,6500000,Тараз,3 августа,0,https://photos-kl.kcdn.kz/webp/d3/d3447fab-2a07-4384-a8d2-99cb3016bcc0/2-160x120.jpg,https://kolesa.kz/a/show/157009048
ГАЗ,ГАЗ ГАЗель,2006 г., Б/у пикап, 2.9 л, газ-бензин, КПП механика,4300000,Павлодар,3 августа,0,https://photos-kl.kcdn.kz/webp/2c/2c6d02ca-62f8-4904-b9d3-9937c8e98ec0/2-160x120.jpg,https://kolesa.kz/a/show/153640005
Scion,Scion XD,2008 г., Б/у хэтчбек, 1.8 л, бензин, КПП автомат,5300000,Кызылорда,3 августа,0,https://photos-kl.kcdn.kz/webp/5f/5fb81065-85c4-43e9-9296-99cb0912b43a/1-160x120.jpg,https://kolesa.kz/a/show/157004109
Toyota,Toyota Camry,2019 г., Б/у седан, 2.5 л, бензин, КПП автомат,18300000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/1c/1c740379-dda4-4d5e-b1fd-99c3029d83ba/4-160x120.jpg,https://kolesa.kz/a/show/156819018
Toyota,Toyota Land Cruiser Prado,2009 г., Б/у внедорожник, 4 л, бензин, КПП автомат,22000000,Атырау,3 августа,0,https://photos-kl.kcdn.kz/webp/82/82ff56ad-bcf4-4145-bc44-99ca9f9cda87/2-160x120.jpg,https://kolesa.kz/a/show/156988130
Hyundai,Hyundai Sonata,2019 г., Б/у седан, 2.4 л, бензин, КПП автомат,10500000,Актау,3 августа,0,https://photos-kl.kcdn.kz/webp/4b/4b5a5520-8da9-4fd0-bcdc-f925347ba831/1-160x120.jpg,https://kolesa.kz/a/show/120121265
Tesla,Tesla Model Y,2023 г., новый кроссовер, электричество, КПП автомат, 20 км,24000000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/b8/b80e3a3e-5a93-4235-a1ee-99ca8cdb51c5/2-160x120.jpg,https://kolesa.kz/a/show/156985382
Hyundai,Hyundai Elantra,2019 г., Б/у седан, 2 л, бензин, КПП автомат,9400000,Тараз,3 августа,0,https://photos-kl.kcdn.kz/webp/e5/e506e6b8-06ae-44d4-b1c0-99cca3e5ea14/2-160x120.jpg,https://kolesa.kz/a/show/157035757
Volkswagen,Volkswagen Golf,1992 г., Б/у хэтчбек, 1.8 л, бензин, КПП механика,900000,Усть-Каменогорск,3 августа,0,https://photos-kl.kcdn.kz/webp/fd/fdb935d8-d4ea-48ce-b5de-99c974e78d56/13-160x120.jpg,https://kolesa.kz/a/show/156970254
JAC,JAC S3,2021 г., Б/у кроссовер, 1.6 л, бензин, КПП вариатор,8000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/71/7164986d-43ca-4f87-a31a-99c973470b76/4-160x120.jpg,https://kolesa.kz/a/show/156970031
Toyota,Toyota RAV 4,2013 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат,12000000,Астана,3 августа,0,https://photos-kl.kcdn.kz/webp/0b/0b2188b7-0bec-4be5-ab14-99c907f7a864/19-160x120.jpg,https://kolesa.kz/a/show/156956113
Toyota,Toyota Land Cruiser,2019 г., Б/у внедорожник, 4.6 л, бензин, КПП автомат,42000000,Алматы,3 августа,0,https://photos-kl.kcdn.kz/webp/0a/0a6c48fe-2609-4443-a3f3-99c94826afd0/8-160x120.jpg,https://kolesa.kz/a/show/156964297
